order_id,day,hour,node_id,lat,lon,x,y,demand_weight
0,0,11,11283742903,1.3575213,103.828278,943.51,603.5,0.4716
1,0,21,5659506589,1.3609016,103.8299581,1130.48,979.79,0.2305
2,0,18,5158074573,1.35211,103.8211677,152.21,1.11,0.49
3,0,16,4916777548,1.3585407,103.8312643,1275.85,716.98,0.2018
4,0,8,5646398859,1.3607592,103.8272666,830.95,963.94,0.451
5,0,8,5374127105,1.35812,103.8250009,578.8,670.15,0.7526
6,0,6,978172645,1.3603209,103.8240092,468.44,915.15,0.5712
7,0,19,5272752590,1.3603439,103.8307775,1221.68,917.71,0.2001
8,0,16,6090003653,1.3568463,103.8281189,925.8,528.36,0.4708
9,0,18,5646322729,1.3555981,103.8284417,961.73,389.41,0.428
10,0,3,1318459317,1.3535418,103.8292655,1053.41,160.5,0.2801
11,0,21,5845787177,1.3617585,103.828524,970.89,1075.18,0.2756
12,0,19,5661315459,1.3595052,103.82943,1071.71,824.35,0.3215
13,0,9,4598764373,1.3594332,103.829062,1030.76,816.33,0.3595
14,0,9,4838301954,1.3588713,103.8284384,961.36,753.78,0.4529
15,0,9,4838326520,1.3592101,103.8204733,74.93,791.5,0.4127
16,0,10,5251317749,1.3583733,103.8323462,1396.25,698.34,0.1493
17,0,14,978172660,1.360353,103.8215952,199.79,918.72,0.4173
18,0,12,1318459233,1.3546878,103.8284127,958.5,288.07,0.414
19,0,10,563630472,1.3506021,103.8294451,1073.39,-166.75,0.1477
20,0,16,5930664450,1.3594062,103.8285706,976.07,813.33,0.4122
21,0,8,5158088539,1.3608672,103.8260969,700.78,975.96,0.5337
22,0,10,5159898375,1.3633324,103.8262869,721.92,1250.39,0.2459
23,0,11,1318459242,1.3557509,103.8243167,502.66,406.42,0.5973
24,0,13,4838338703,1.3594158,103.8268498,784.57,814.39,0.595
25,0,18,9287406805,1.3586598,103.8243822,509.95,730.24,0.8049
26,0,9,5159268931,1.3584505,103.8186309,-130.11,706.94,0.2626
27,0,14,5374786774,1.3582283,103.827386,844.24,682.2,0.5718
28,0,16,6036247000,1.3595948,103.8301935,1156.68,834.32,0.2561
29,0,6,11290297736,1.3674468,103.8141573,-627.97,1708.41,0.041
30,0,16,5652363349,1.3537691,103.8355316,1750.75,185.8,0.0635
31,0,9,1318459214,1.354206,103.8267571,774.25,234.44,0.5227
32,0,7,5159898330,1.3610086,103.819461,-37.73,991.71,0.2366
33,0,21,5661315460,1.3596337,103.8294318,1071.91,838.65,0.3168
34,0,21,5251317740,1.3583514,103.8288665,1009.0,695.91,0.4123
35,0,19,5158088551,1.3603848,103.8265527,751.5,922.26,0.5682
36,0,10,4818344679,1.359011,103.831839,1339.81,769.33,0.1672
37,0,7,5158088549,1.3603943,103.8264793,743.33,923.32,0.5759
38,0,17,5899070140,1.3636256,103.8299796,1132.88,1283.03,0.1361
39,0,12,1255416431,1.3590659,103.8262021,712.48,775.44,0.6674
40,0,8,4000037189,1.3562287,103.8274255,848.63,459.61,0.5216
41,0,14,978172643,1.3606352,103.8248469,561.66,950.14,0.5651
42,0,5,11290315416,1.368799,103.8132909,-724.39,1858.93,0.0364
43,0,20,5230400524,1.3601554,103.8324248,1405.0,896.73,0.1312
44,0,10,8654106979,1.3553699,103.8240062,468.1,364.01,0.5822
45,0,17,9287469384,1.3594755,103.8270025,801.56,821.04,0.5762
46,0,10,6734385732,1.3532994,103.8309516,1241.05,133.52,0.1741
47,0,14,5159236532,1.3621522,103.8170524,-305.78,1119.01,0.1124
48,0,15,6640288845,1.3600941,103.8325602,1420.07,889.9,0.1273
49,0,9,4000037200,1.3573502,103.82769,878.07,584.45,0.5212
50,0,21,5661315465,1.3599771,103.8290802,1032.78,876.88,0.3339
51,0,18,978172646,1.3601418,103.8239001,456.3,895.21,0.588
52,0,21,5267997382,1.3534788,103.8321086,1369.81,153.49,0.1323
53,0,20,4838338648,1.358059,103.8232423,383.09,663.36,0.6714
54,0,16,4961971922,1.3599395,103.8266155,758.49,872.69,0.599
55,0,20,5159274264,1.3603516,103.8189943,-89.67,918.57,0.2365
56,0,7,9287429427,1.3567664,103.823345,394.52,519.46,0.6609
57,0,9,5648108209,1.3552058,103.831995,1357.17,345.74,0.1575
58,0,6,5159898440,1.3624324,103.8204896,76.74,1150.2,0.2116
59,0,11,1793524794,1.3670904,103.8283735,954.14,1668.73,0.0777
60,0,12,5159274254,1.3600618,103.8178425,-217.85,886.31,0.1821
61,0,10,4838338689,1.3595011,103.8254431,628.01,823.89,0.7114
62,0,19,9287429438,1.3562304,103.8232406,382.9,459.8,0.6391
63,0,11,5159268614,1.357693,103.8188949,-100.73,622.61,0.2937
64,0,10,5159344240,1.3560305,103.8145821,-580.69,437.54,0.1032
65,0,15,4000040013,1.3573793,103.8278483,895.69,587.69,0.5086
66,0,8,4598447960,1.3579999,103.8253913,622.25,656.78,0.7156
67,0,19,4838338637,1.3597563,103.8238082,446.07,852.3,0.6308
68,0,7,3998714255,1.3595576,103.8270251,804.07,830.18,0.57
69,0,22,4838338634,1.3570036,103.819,-89.03,545.87,0.3104
70,0,18,7168542311,1.3714661,103.8287593,997.07,2155.83,0.0403
71,0,9,5159902011,1.3614363,103.8137117,-677.56,1039.32,0.0635
72,0,0,4735281551,1.3534511,103.8330477,1474.32,150.4,0.1049
73,0,19,5158074577,1.3522313,103.820736,104.17,14.62,0.5102
74,0,18,5661632956,1.3592459,103.8294024,1068.64,795.48,0.3327
75,0,18,5159898267,1.3656783,103.822158,262.42,1511.54,0.114
76,0,18,6487086017,1.3558454,103.8282318,938.37,416.94,0.4508
77,0,7,4838338711,1.3587057,103.8233672,396.99,735.35,0.6718
78,0,11,6036246863,1.360101,103.8300116,1136.44,890.67,0.2546
79,0,8,4838338704,1.3594768,103.8269209,792.48,821.19,0.585
80,0,19,5377809714,1.3581434,103.8250155,580.43,672.75,0.754
81,0,16,11290297719,1.3654495,103.8141257,-631.49,1486.07,0.0476
82,0,11,7428246348,1.3511406,103.8357426,1774.24,-106.8,0.0523
83,0,7,11290297627,1.3641281,103.8172847,-279.93,1338.97,0.0854
84,0,10,5661314850,1.3596337,103.8293687,1064.89,838.65,0.3224
85,0,11,6063424342,1.3679791,103.8295655,1086.79,1767.66,0.0601
86,0,18,6036247010,1.3600734,103.8300847,1144.57,887.6,0.2503
87,0,17,4838338628,1.3577203,103.8195145,-31.77,625.65,0.3443
88,0,20,5661315493,1.3605717,103.8292728,1054.22,943.07,0.2902
89,0,13,8027621767,1.3518738,103.8315084,1303.02,-25.18,0.1238
90,0,8,8039106779,1.3552569,103.8361444,1818.95,351.43,0.0603
91,0,18,12684835157,1.3554035,103.8304948,1190.21,367.75,0.2427
92,0,18,5159236611,1.363745,103.8169384,-318.46,1296.32,0.0858
93,0,15,5659506658,1.3609925,103.8305313,1194.28,989.91,0.1959
94,0,18,10702385245,1.3586007,103.831191,1267.69,723.66,0.2056
95,0,13,6734278372,1.3551764,103.8281782,932.4,342.46,0.4535
96,0,14,5694893945,1.3532201,103.8269307,793.57,124.69,0.4087
97,0,12,5251317749,1.3583733,103.8323462,1396.25,698.34,0.1493
98,0,4,1318513939,1.3627067,103.8294335,1072.1,1180.74,0.1845
99,0,8,5251317000,1.3595395,103.8298354,1116.83,828.17,0.2853
100,0,5,8012437747,1.3570737,103.8290521,1029.66,553.67,0.384
101,0,17,5652387834,1.3570241,103.8177388,-229.39,548.15,0.2238
102,0,10,5661632938,1.3575757,103.8300586,1141.67,609.55,0.2934
103,0,14,6090003636,1.3566667,103.8279066,902.18,508.37,0.4867
